"","Branching_Coral","Brown_Algae","CCA","Cyanobacteria","Dead_Coral","Foraminifera","Green_Algae","Hard_Substrate","Macrofauna","Massive_Coral","Other_cnidarian","Red_Algae","Sand","Soft_Coral","Turf_algae","Turf_and_sand"
"2B_03",0.3174799,0,31.4284539,0,0,0,0,0,0,0.4897968,0,2.8573192,11.4282482,0,5.7146384,28.5711347
"2B_04",0,0,11.1111111,2.7780278,0,0,0,0,0,0.2380881,0,8.3330833,0,0,11.1111111,58.3335833
"2B_05",2.22226794,0,11.42836572,0,0,0,0,0,0,0.08163853,0,0,2.85734857,0,0,62.85652572
"2B_06",3.2679808,0,11.764519,0,0,0,0,0,0,0.5042088,0,0,0,0,2.9413945,38.2349516
"2B_07",0,0,25,0,0,0,0,0,0,0.1587429,0,0,0,0,0,69.444
"2B_08",1.8518889,0,27.778,0,0,0,0,0,0,0.7142857,0,0,0,0,8.333,22.222
"2B_09",1.8518889,0,8.333,0,0,0,0,0,0,0.3968286,0,0,0,0,19.444,41.667
"2B_10",1.683491,0,18.181917,0,0,0,0,0,0,0,0,0,3.030501,0,3.030501,60.605664
"2B_11",0,0,25,0,0,0,0,0,0,0.07937143,0,0,2.778,0,19.444,50
"2B_12",0,0,14.7057578,0,0,0,0,0,0,0.2521169,0,0,2.9413633,0,5.8827266,67.6460623
"2B_13",0,0,12.49985938,0,0,0,0,0,0,0.08929275,0,0,0,0,6.25049219,78.12440234
"2B_14",0,0,23.5292872,0,0,0,0,0,0,0,0,11.7646436,0,0.7353564,23.5292872,38.2353564
"2B_15",0.3472457,0,18.7501406,0,0,0,0,0,0,0.4464266,0,6.2504219,0,0,37.4991563,18.7501406
"2B_16",2.61442753,0,17.64712111,11.76439447,0,0,0,0,1.47068166,0.08403895,0,0,0,0,14.70575779,26.47015226
"2B_17",0.9258889,0,19.444,0,0,0,0,0,0,0,0,2.778,0,0,13.889,55.556
"2B_18",0,0,28.57142857,0,0,0,0,0,0,0.08163853,0,8.57101715,5.71469714,0,5.71469714,48.57081143
"2B_19",0.9258889,0,44.444,0,0,0,0,0,0,0,0,0,2.778,0,2.778,41.667
"2B_20",2.777778,0,19.444,0,0,0,0,0,1.389,0,0,0,5.556,0,8.333,38.889
"2C_01",0.6349663,0,19.9993829,0,0,0,0,0,0,0,0,0,0,0,17.1430629,57.1428571
"2C_02",1.851889,0,44.444,0,0,0,0,0,0,0,0,0,0,0,0,38.889
"2C_03",0,0,33.33333,0,0,0,0,0,0,0,0,0,0,0,19.44419,47.22247
"2C_04",0,0,30.55569444,0,0,0,0.55559444,0,0,0.07937063,0,0,0,0,11.11088889,52.77747223
"2C_05",0.3268216,0,38.2349516,2.9413945,0,0,0,0,0,0,0,2.9413945,0,0,11.764519,41.176346
"2C_06",0,0,37.14244572,0,0,0,0,0,0,0.08163853,0,0,0,0,28.57142857,31.42877714
"2C_07",0.6536432,0,14.7059135,0,0,0,0,0,0,0.5042088,0,0,8.8231246,0,5.8827889,47.0580761
"2C_08",0.9258796,0,30.5556944,0,2.7779722,0,0,0,0,0.3968246,0,2.7779722,0,0,5.5559444,36.1106389
"2C_09",0,0,5.556,0,0,0,0,0,0,0,0,0,0,0,11.111,83.333
"2C_10",0,0,19.444,0,0,0,0,0,0,0.07937143,0,0,0,0,2.778,75
"2C_11",0.617321,0,8.3328333,2.7779444,0,0,0,0,0,0.3968492,0,8.3328333,5.5558889,0,16.6666667,38.8882222
"2C_12",1.2345556,0,11.111,0,0,0,0,0,0,0.1587429,0,0,0,0,13.889,58.333
"2C_13",0,0,16.667,8.333,0,0,0,0,0,1.111114,0,2.778,0,0,0,33.333
"2C_14",0,0,0,0,0,0,0,0,0,0.5555429,0,0,2.778,11.8055,5.556,25
"2C_15",0,0,17.14288653,0,0,0,0,0,0,0.08163769,0,0,5.71463836,4.28572163,2.85731918,54.28495022
"2C_16",0.3086605,0,0,0,0,0,0,0,0,0.4761905,0,2.7779444,5.5558889,4.1666667,2.7779444,52.7769445
"2C_17",0,0,13.8887222,2.7779444,0,0,0,0,0,0.1587397,0,5.5558889,0,0,16.6666667,55.5548889
"2C_18",0,0,29.4115156,0,0,0,0,0,0,0.1680779,0,0,5.8827266,0,14.7057578,44.1172734
"2C_19",1.23464197,0,2.77794444,0,0,0,0.55558889,0,0,0.07936984,0,0,5.55588888,0,0,74.99850003
"2C_20",0.3268181,0,29.4115156,2.9413633,0,0,0,0,0,0,0,0,2.9413633,0,2.9413633,58.8230312
"3A_01",0.30866667,0,44.444,0,0,0,0.5556,0,0,0.07937143,0,0,2.778,0,25,19.444
"3A_02",0,0,47.222472,0,0,0,0,0,0,0,0,0,0,2.083271,8.333083,36.111361
"3A_03",0,0,38.889,0,0,0,0,0,0,0,0,0,2.778,2.08325,0,50
"3A_04",3.086414,0,13.888861,0,2.777972,0,0,0,0,0,0,0,0,2.777722,2.777972,41.666583
"3A_05",0,0,47.221528,0,0,0,0,0,0,0,0,2.777972,2.777972,0,5.555944,41.666583
"3A_06",0,0,26.470713,0,0,0,0,0,0,0,0,0,0,11.029552,8.823218,20.587862
"3A_07",0,0,44.444,0,0,0,0,0,0,0,0,0,0,0,27.778,27.778
"3A_08",4.513869,0,21.874473,0,0,0,0,0,0,0,0,0,0,0,3.125246,34.375457
"3A_09",2.222245,0,31.428454,2.857319,0,0,0,0,0,0,0,0,0,0,5.714638,39.999383
"3A_10",1.85187,0,22.221778,5.555944,0,0,0,0,0,0,0,0,0,0,0,55.555444
"3A_11",2.941159,0,29.411827,0,0,0,0,0,0,0,0,0,0,0,29.411827,14.705913
"3A_12",0,0,52.94142561,0,0,0,0,0,0,0.08404073,0,0,0,5.8823218,20.58786159,0
"3A_13",0,0,17.647308,0,0,0,0.5882789,0,0,0,0,0,17.647308,3.6764784,0,47.0580761
"3A_14",3.921548,0,20.587862,0,0,0,0,0,0,0,0,0,0,0,5.882851,38.235356
"3A_15",0.61732099,0,41.66616668,0,0,0,0.55558889,0,0,0.07936984,0,0,0,0,5.55588888,41.66616668
"3A_16",0,0,69.6968375,0,0,0,0,0,0,0.1731734,0,0,0,0,9.0905124,15.1515813
"3A_17",0,0,38.8886111,0,0,0,0,0,0,0.1587413,0,0,0,0.6944931,22.2217778,30.5556944
"3A_18",0.6173272,0,19.4438056,0,5.5559444,0,0,0,0,0.6349365,0,0,0,0,2.7779722,44.4435556
"3A_19",0,0,44.4435556,0,0,0,0,0,0,0.3968532,0,0,0,0,5.5559444,36.1106389
"3A_20",0,0,48.571311,0,0,0,0,0,1.428689,0,0,0,0,0,11.428483,37.142828
"3B_01",5.079388,0,17.143063,0,0,0,0,0,0,0,0,0,0,0,19.999383,17.143063
"3B_02",3.174685,0,31.428454,0,0,0,0,0,0,0,0,0,0,0,2.857319,37.142064
"3B_03",2.020213,0,45.454248,0,0,0,0,0,0,0,0,0,0,0,18.181917,18.181917
"3B_04",0,0,22.2217778,0,0,0,0,0,0,0.1587413,0,0,0,0,5.5559444,66.6663333
"3B_05",2.083372,0,18.750352,0,0,0,0,0,0,0,0,0,0,0,37.499578,24.999719
"3B_06",0,0,13.889,0,0,0,0,0,0,0,0,0,0,12.5,8.333,27.778
"3B_07",0,0,11.42848,0,0,0,0,0,0,0,0,0,0,13.57152,0,34.28545
"3B_08",0,0,24.2423581,0,0,0,0,0,0,0.6060512,0,0,0,0,15.1517466,39.3941047
"3B_09",2.2221765,0,14.2858612,0,2.857378,0,0,0,0,0.8163349,0,0,0,0,8.5711053,25.7143445
"3B_10",7.716,0,5.556,0,0,0,0,0,0,0,0,0,0,0.6945,2.778,19.444
"3B_11",4.248328,0,14.705913,0,0,0,0,0,0,0,0,0,0,6.617608,2.941394,17.647308
"3B_12",2.160444,0,22.222,0,0,0,0,0,0,0,0,0,0,0,27.778,30.556
"3B_13",1.851889,0,16.667,0,0,0,0,0,0,0,0,0,0,6.25,8.333,33.333
"3B_14",0.61732716,0,16.66683333,0,0,0,0,0,0,0.07937063,0,0,0,5.55544445,16.66683333,36.11063889
"3B_15",0.6349663,0,17.1430629,0,0,0,0,0,0,0,0,0,0,12.85704,5.7146971,19.9993829
"3B_16",1.587302,0,25.71408,5.714697,2.857349,0,0,0,0,0,0,0,0,0,17.143063,34.285097
"3B_17",0.336726,0,63.635769,0,0,0,0,0,0,0,0,0,0,0,18.182116,15.151581
"3B_18",4.248401,0,26.470152,0,0,0,0,0,0,0,0,0,0,0,17.647121,17.647121
"3B_19",0.6536363,0,32.3528789,0,0,0,0.5882727,0,0,0,0,2.9413633,0,0,29.4115156,26.4701523
"3B_20",2.857149,0,65.71455,0,0,0,0,0,0,0,0,0,0,0,8.571105,0
"3C_01",0.6536432,0,14.7059135,0,0,0,0,0,0,0,0,0,0,3.6764784,20.5876436,44.1177405
"3C_02",0,0,13.8888611,0,0,0,0,0,0,0.1587413,0,0,2.7779722,2.7777222,41.6665833,24.99975
"3C_03",0,0,31.4287771,0,0,0,0,0,0,0,0,0,0,0.7143371,11.4283657,54.2855086
"3C_04",0,0,27.272926,0,0,0,0,0,0,0,0,0,0,3.030295,12.121179,48.484716
"3C_05",0,0,2.941394,0,0,0,0,0,0,0,2.941394,0,0,0,52.940865,41.176346
"3C_06",3.030325,0,24.242358,0,0,0,0,0,0,0,0,0,0,0,27.272926,21.211791
"3C_07",0.6349663,0,25.71408,0,0,0,0,0,0,0.1632771,0,0,0,0,25.71408,37.1424457
"3C_08",0.9803472,0,5.8827889,0,0,0,0,0,0,0.6722582,0,2.9413945,2.9413945,0,14.7059135,41.176346
"3C_09",0.6173272,0,13.8888611,0,0,0,0,0,0,0.1587413,0,0,0,0,24.99975,49.9995
"3C_10",0.3268216,0,52.9408651,5.8827889,0,0,0,0,0,0,0,0,0,0,8.8231246,29.411827
"3C_11",0,0,20.5876436,0,0,0,0.5882789,0,0,0,0,0,2.9413945,0,29.411827,44.1177405
"3C_12",0,0,24.99975,0,0,0,1.1111889,0,0,0.1587413,0,0,2.7779722,0,47.2215278,13.8888611
"3C_13",0.31748317,0,17.14306286,0,0,0,0,0,0,0.08163853,0,11.42836572,0,5.71418286,17.14306286,25.71408
"3C_14",0,0,27.7777222,0,0,0,0,0,0,0,0,0,2.7779722,0.6944931,11.1108889,55.5554444
"3C_15",0.3174799,0,14.2855673,0,2.8573192,0,0.5714638,0,0,0.1632754,0,2.8573192,2.8573192,0,17.1428865,48.5703119
"3C_16",1.9047848,0,14.2857143,0,0,0,0,0,0,0.4081633,0,5.7146971,0,0.7143371,19.9993829,25.71408
"3C_17",0,0,31.4287771,0,0,0,0,0,0,0.3265247,0,0,0,0,42.8571429,14.2857143
"3C_18",0,0,33.333,0,0,0,0.5556,0,0,0,0,0,0,0,2.778,61.111
"3C_19",0,0,22.222,0,0,0,0,0,0,0,0,0,0,2.77775,5.556,61.111
"3C_20",0.617321,0,16.6666667,2.7779444,0,0,0,0,0,0.3174794,2.7779444,0,0,0,13.8887222,47.2210556
"4A_01",0.3174799,0,2.8573192,0,0,0,0,0,2.8573192,0.3265508,0,0,0,0,71.4268082,5.7146384
"4A_02",1.3071549,0,2.9413633,0,2.9413633,0,0,0,0,0.1680779,0,0,0,0.7353408,29.4115156,44.1172734
"4A_03",0,0,19.444,0,0,0,0,0,0,0,0,0,5.556,0,41.667,33.333
"4A_04",0.6734447,0,33.3333333,0,0,0,1.2122005,0,0,0.4328976,0,0,0,0,39.3932452,0
"4A_05",0,0,35.2935571,0,0,0,0,0,0,0.08403984,0,0,2.94139446,0.73534862,26.47043253,29.41182699
"4A_06",0.63495329,1.4286449,31.42813062,0,0,0,0,0,0,0.08163685,0,0,5.71457958,3.5713551,31.42813062,5.71457958
"4A_07",0,5.714242,14.285861,0,0,0,0,0,0,0,0,0,5.714756,4.999897,28.571722,19.999589
"4A_08",0.61732099,2.77794444,2.77794444,0,0,0,0,0,2.77794444,0.07936984,0,0,2.77794444,0,55.5548889,19.44361113
"4A_09",0,0,8.3329167,0,0,0,0,0,0,0.2381119,0,2.7779722,5.5559444,0,55.5554444,19.4438056
"4A_10",0.3086605,0,13.8887222,0,0,0,0,0,1.3889722,0.1587397,0,5.5558889,5.5558889,0,33.3323334,30.5553889
"4A_11",0,0,5.714638,0,2.857319,0,0,0,0,1.224477,0,5.714638,0,0,25.713816,17.142887
"4A_12",1.3071688,0,41.176346,0,0,0,0.5882789,0,0,0.1680797,0,0,0,0,23.5290381,14.7059135
"4A_13",1.5873016,0,2.8573486,0,2.8573486,0,0,0,0,0.4081633,0,0,2.8573486,1.4286743,22.8567314,34.2850971
"4A_14",1.2698184,0,31.4287771,0,0,0,0.5714697,2.8573486,0,0.2448862,0,2.8573486,0,0.7143371,34.2850971,2.8573486
"4A_15",1.346768,0,60.605664,0,0,0,0,0,1.515251,0,0,0,0,1.515251,15.151416,3.030501
"4A_16",0.31748317,1.42867428,31.42877714,0,0,0,0,0,0,0.08163853,0,0,0,0,22.85673143,37.14244572
"4A_17",0.34724957,0,71.87503516,0,0,0,0,0,1.56262305,0.08929275,0,0,0,0,9.37461328,9.37461328
"4A_18",0,1.389,27.778,0,0,0,0,0,0,0,0,0,0,0,50,19.444
"4A_19",0.31747991,2.85731918,5.71463836,0,0,0,0.57146384,0,1.42865959,0.08163769,0,2.85731918,0,0,22.85649634,51.42763104
"4A_20",0.6536432,1.4706972,2.9413945,0,0,0,0,0,0,0,0,5.8827889,0,0,35.2935571,47.0580761
"4B_01",0.9259815,1.3889722,5.5558889,0,0,0,0,0,1.3889722,0,0,0,0,0,41.6661667,38.8882222
"4B_02",0.30866667,9.722,0,0,0,0,0,0,0,0.07937143,0,0,0,0,8.333,66.667
"4B_03",1.960812,0,17.64730796,0,0,0,0,0,0,0.08403984,0,0,0,0,38.23495156,23.52903806
"4B_04",0.32681815,0,5.88272664,0,0,0,0.58827266,0,1.47068166,0.08403895,0,0,14.70575779,0,2.94136332,64.70469898
"4B_05",0,0,23.52929,0,0,0,0,0,0,0,0,0,0,0,11.76464,64.70607
"4B_06",0.336726,1.515267,15.151581,0,0,0,0,0,0,0,0,0,0,2.272628,30.303163,39.393675
"4B_07",3.395,0,0,2.778,0,0,0,0,1.389,0,0,2.778,0,0,41.667,19.444
"4B_08",0.3174864,0,0,0,0,0,0,0,2.857378,0,0,0,0,9.2857069,8.5711053,45.7139331
"4B_09",0.6349729,0,0,0,0,0,0,0,1.428689,0.5714168,0,0,0,0,11.4284833,59.9997943
"4B_10",0.3472457,0,18.7501406,0,0,0,0,0,0,0.4464266,0,0,0,0,31.2498594,31.2498594
"4B_11",0.3086636,1.3889861,5.5559444,0,0,0,0,0,0,0,0,0,2.7779722,0,33.3326667,52.7774722
"4B_12",1.9047652,1.4286596,0,0,2.8573192,0,0,0,0,0.1632754,0,0,0,0,31.4284539,39.9993829
"4B_13",0,2.7779444,13.8887222,0,0,0,0,0,1.3889722,0.3174794,0,2.7779444,0,0,8.3328333,55.5548889
"4B_14",1.3071688,0,29.411827,0,0,0,0,0,1.4706972,0.3361291,0,0,0,0,17.647308,26.4704325
"4B_15",0,2.857349,0,0,0,0,0,0,1.428674,0,14.285714,0,0,0,14.285714,62.856526
"4B_16",0,1.4286743,8.5710171,0,0,0,0,0,0,0.2449156,2.8573486,0,0,0,5.7146971,71.4275429
"4B_17",0,0,8.5711053,0,0,0,1.1429512,0,0,0.6530562,0,0,2.857378,0.7143445,8.5711053,48.571311
"4B_18",0,4.285509,5.714697,0,0,0,0,0,0,0,0,0,8.571017,1.428674,5.714697,65.713874
"4B_19",1.2698184,0,0,0,0,0,0,0,0,0.1632771,0,0,0,0,25.71408,57.1428571
"4B_20",0.3086636,0,0,0,0,0,0,0,0,0.4761952,5.5559444,0,2.7779722,0.6944931,8.3329167,61.1103889
"4C_01",0,0,5.55594444,0,0,0,0,0,0,0.07937063,0,2.77797222,0,0,8.33291667,80.55519445
"4C_02",2.469111,0,25,5.556,0,0,0,0,0,0,0,0,0,0,22.222,25
"4C_03",0.6173333,0,47.222,0,0,0,0,0,0,0,0,0,0,0,19.444,27.778
"4C_04",0,1.3889861,2.7779722,0,0,0,0,0,1.3889861,0.6349079,0,2.7779722,0,0,0,66.6663333
"4C_05",1.5873016,4.2855086,5.7146971,0,0,0,0,0,0,0.3265247,0,0,0,0,2.8573486,57.1428571
"4C_06",0,2.778,11.111,2.778,0,0,0,0,4.1665,0,0,0,0,0,2.778,69.444
"4C_07",0.6349533,2.8572898,0,0,0,0,0,0,2.8572898,0.2449106,0,0,0,0,5.7145796,68.5698123
"4C_08",0.3174864,0,0,0,0,0,0,0,0,0.7346956,22.8569665,0,0,0,0,48.571311
"4C_09",0.65364321,2.94139446,0,0,0,0,0,0,5.88225952,0.08403984,0,0,0,0,0,73.52850866
"4C_10",0,9.09095868,0,0,0,0,0,0,1.51525069,0.08658575,0,3.03050137,0,0,6.06100275,66.66557577
"4C_11",1.792111,0,9.676932,0,0,0,0,0,1.613016,0,0,3.226031,0,0,3.226031,64.515979
"4C_12",1.0416237,4.6873066,9.3746133,0,3.1252461,0,0,0,1.562623,0.1785855,0,0,0,0,3.1252461,56.2499297
"4C_13",1.683509,4.545256,6.061069,0,0,0,0,0,3.030534,0,0,0,0,0,0,63.635769
"4C_14",0.92598148,1.38897222,2.77794444,0,0,0,0,0,1.38897222,0.07936984,0,0,0,0,2.77794444,77.77644447
"4C_15",0.6173272,1.3889861,0,0,0,0,0,0,0,0.2381119,0,0,0,0,8.3329167,74.99925
"4C_16",0.3174832,2.8573486,0,0,0,0,0,0,0,0.1632771,0,2.8573486,11.4283657,0,0,71.4275429
"4C_17",1.010057,6.060523,0,0,0,0,0,0,1.515267,0,0,0,3.030534,0,3.030534,69.696837
"4C_18",0,4.1665,0,0,0,0,0,0,1.389,0,0,0,11.111,0,2.778,75
"4C_19",0,0,0,0,0,0,0,0,0,0.07937143,0,0,8.333,0,0,88.889
"4C_20",0,0,0,0,0,0,0,0,0,0,0,0,5.556,0,0,94.444
"5A_01",1.2345556,0,0,0,0,0,0,0,0,0.9523714,0,0,0,0,2.778,52.778
"5A_02",0.6173272,5.5554444,0,0,0,0,0,0,0,0.8730198,0,0,2.7779722,0,27.7777222,22.2217778
"5A_03",0,0,0,0,0,0,0,0,1.38898611,0.07937063,0,2.77797222,11.11088889,0.69449306,2.77797222,74.99925001
"5A_04",0,0,0,0,2.857349,0,0,0,2.857349,0,0,2.857349,2.857349,0,0,85.713257
"5A_05",0,0,0,0,0,0,0,0,2.77797222,0.07937063,0,2.77797222,0,0,2.77797222,86.1101389
"5A_06",0,0,0,0,0,0,0,0,1.4286743,0.2449156,0,0,0,0,0,88.5706057
"5A_07",0.3086667,0,0,0,0,0,0,0,2.778,0.2380857,0,0,0,0,0,83.333
"5A_08",0.6173333,0,0,0,0,0,0,0,0,0,0,0,0,2.08325,0,86.111
"5A_09",0.6734521,0,9.0905124,0,0,0,0,0,1.5152672,0.3463156,0,3.0305344,0,0,36.3631405,30.3031625
"5A_10",1.0101671,0,6.0610027,0,0,0,0,0,0,0.2597261,0,0,0,0,18.1819174,57.5751625
"5A_11",1.23454321,5.55544445,5.55594444,0,0,0,0,0,0,0.07937063,0,0,0,0,2.77797222,66.66633334
"5A_12",0.92588889,0,0,0,0,0,0,0,0,0.07937143,0,0,5.556,0,0,83.333
"5A_13",0.6173272,6.9444306,0,0,0,0,0,0,0,0.1587413,0,0,0,0,2.7779722,72.2212778
"5A_14",0,0,0,0,0,0,0,0,0,0,0,2.777972,5.555944,0,0,91.666083
"5A_15",1.63399,2.941394,8.823125,0,0,0,0,0,0,0,0,0,2.941394,0,14.705913,52.940865
