"","Brown_Algae","CCA","Cyanobacteria","Dead_Coral","Foraminifera","Green_Algae","Hard_Coral","Hard_Substrate","Macrofauna","Other_cnidarian","Red_Algae","Sand","Soft_Coral","Turf_algae","Turf_and_sand"
"3B_05",0,18.7503516,0,0,0,0,0.4261444,0,0,0,0,0,0,37.4995781,24.9997188
"3B_06",0,13.889,0,0,0,0,0,0,0,0,0,0,12.5,8.333,27.778
"3B_07",0,11.42848,0,0,0,0,0,0,0,0,0,0,13.57152,0,34.28545
"3B_08",0,24.2423581,0,0,0,0,0.4820862,0,0,0,0,0,0,15.1517466,39.3941047
"3B_09",0,14.285861,0,2.857378,0,0,1.103893,0,0,0,0,0,0,8.571105,25.714344
"3B_10",0,5.556,0,0,0,0,1.578273,0,0,0,0,0,0.6945,2.778,19.444
"3B_11",0,14.7059135,0,0,0,0,0.8689762,0,0,0,0,0,6.6176081,2.9413945,17.647308
"3B_12",0,22.222,0,0,0,0,0.4419091,0,0,0,0,0,0,27.778,30.556
"3B_13",0,16.667,0,0,0,0,0.3787955,0,0,0,0,0,6.25,8.333,33.333
"3B_14",0,16.6668333,0,0,0,0,0.1894072,0,0,0,0,0,5.5554444,16.6668333,36.1106389
"3B_15",0,17.1430629,0,0,0,0,0.1298795,0,0,0,0,0,12.85704,5.7146971,19.9993829
"3B_16",0,25.71408,5.7146971,2.8573486,0,0,0.3246753,0,0,0,0,0,0,17.1430629,34.2850971
"3B_17",0,63.6357686,0,0,0,0,0.06887578,0,0,0,0,0,0,18.1821157,15.15158127
"3B_18",0,26.470152,0,0,0,0,0.868991,0,0,0,0,0,0,17.647121,17.647121
"3B_19",0,32.3528789,0,0,0,0.5882727,0.1336983,0,0,0,2.9413633,0,0,29.4115156,26.4701523
"3B_20",0,65.7145502,0,0,0,0,0.5844169,0,0,0,0,0,0,8.5711053,0
"3C_01",0,14.7059135,0,0,0,0,0.1336997,0,0,0,0,0,3.6764784,20.5876436,44.1177405
"3C_02",0,13.8888611,0,0,0,0,0.1262715,0,0,0,0,2.7779722,2.7777222,41.6665833,24.99975
"3C_03",0,31.4287771,0,0,0,0,0,0,0,0,0,0,0.7143371,11.4283657,54.2855086
"3C_04",0,27.272926,0,0,0,0,0,0,0,0,0,0,3.030295,12.121179,48.484716
"3C_05",0,2.941394,0,0,0,0,0,0,0,2.941394,0,0,0,52.940865,41.176346
"3C_06",0,24.2423581,0,0,0,0,0.6198392,0,0,0,0,0,0,27.2729256,21.2117906
"3C_07",0,25.71408,0,0,0,0,0.259759,0,0,0,0,0,0,25.71408,37.142446
"3C_08",0,5.8827889,0,0,0,0,0.7352764,0,0,0,2.9413945,2.9413945,0,14.7059135,41.176346
"3C_09",0,13.8888611,0,0,0,0,0.2525429,0,0,0,0,0,0,24.99975,49.9995
"3C_10",0,52.94086505,5.88278892,0,0,0,0.06684987,0,0,0,0,0,0,8.82312457,29.41182699
"3C_11",0,20.5876436,0,0,0,0.5882789,0,0,0,0,0,2.9413945,0,29.411827,44.1177405
"3C_12",0,24.99975,0,0,0,1.1111889,0.1262715,0,0,0,0,2.7779722,0,47.2215278,13.8888611
"3C_13",0,17.1430629,0,0,0,0,0.1298795,0,0,0,11.4283657,0,5.7141829,17.1430629,25.71408
"3C_14",0,27.7777222,0,0,0,0,0,0,0,0,0,2.7779722,0.6944931,11.1108889,55.5554444
"3C_15",0,14.2855673,0,2.8573192,0,0.5714638,0.1948172,0,0,0,2.8573192,2.8573192,0,17.1428865,48.5703119
"3C_16",0,14.2857143,0,0,0,0,0.7142904,0,0,0,5.7146971,0,0.7143371,19.9993829,25.71408
"3C_17",0,31.4287771,0,0,0,0,0.2597356,0,0,0,0,0,0,42.8571429,14.2857143
"3C_18",0,33.333,0,0,0,0.5556,0,0,0,0,0,0,0,2.778,61.111
"3C_19",0,22.222,0,0,0,0,0,0,0,0,0,0,2.77775,5.556,61.111
"3C_20",0,16.6666667,2.7779444,0,0,0,0.3788106,0,0,2.7779444,0,0,0,13.8887222,47.2210556
"4A_01",0,2.8573192,0,0,0,0,0.3246954,0,2.8573192,0,0,0,0,71.4268082,5.7146384
"4A_02",0,2.9413633,0,2.9413633,0,0,0.4010709,0,0,0,0,0,0.7353408,29.4115156,44.1172734
"4A_03",0,19.444,0,0,0,0,0,0,0,0,0,5.556,0,41.667,33.333
"4A_04",0,33.3333333,0,0,0,1.2122005,0.4821004,0,0,0,0,0,0,39.3932452,0
"4A_05",0,35.2935571,0,0,0,0,0.06684987,0,0,0,0,2.94139446,0.73534862,26.47043253,29.41182699
"4A_06",1.4286449,31.4281306,0,0,0,0,0.1948152,0,0,0,0,5.7145796,3.5713551,31.4281306,5.7145796
"4A_07",5.714242,14.285861,0,0,0,0,0,0,0,0,0,5.714756,4.999897,28.571722,19.999589
"4A_08",2.7779444,2.7779444,0,0,0,0,0.1894053,0,2.7779444,0,0,2.7779444,0,55.5548889,19.4436111
"4A_09",0,8.3329167,0,0,0,0,0.1894072,0,0,0,2.7779722,5.5559444,0,55.5554444,19.4438056
"4A_10",0,13.8887222,0,0,0,0,0.1894053,0,1.3889722,0,5.5558889,5.5558889,0,33.3323334,30.5553889
"4A_11",0,5.714638,0,2.857319,0,0,0.974016,0,0,0,5.714638,0,0,25.713816,17.142887
"4A_12",0,41.176346,0,0,0,0.5882789,0.4010752,0,0,0,0,0,0,23.5290381,14.7059135
"4A_13",0,2.8573486,0,2.8573486,0,0,0.6493506,0,0,0,0,2.8573486,1.4286743,22.8567314,34.2850971
"4A_14",0,31.4287771,0,0,0,0.5714697,0.4545314,2.8573486,0,0,2.8573486,0,0.7143371,34.2850971,2.8573486
"4A_15",0,60.6056639,0,0,0,0,0.2754753,0,1.5152507,0,0,0,1.5152507,15.151416,3.0305014
"4A_16",1.4286743,31.4287771,0,0,0,0,0.1298795,0,0,0,0,0,0,22.8567314,37.1424457
"4A_17",0,71.8750352,0,0,0,0,0.1420566,0,1.562623,0,0,0,0,9.3746133,9.3746133
"4A_18",1.389,27.778,0,0,0,0,0,0,0,0,0,0,0,50,19.444
"4A_19",2.8573192,5.7146384,0,0,0,0.5714638,0.1298781,0,1.4286596,0,2.8573192,0,0,22.8564963,51.427631
"4A_20",1.4706972,2.9413945,0,0,0,0,0.1336997,0,0,0,5.8827889,0,0,35.2935571,47.0580761
"4B_01",1.3889722,5.5558889,0,0,0,0,0.1894053,0,1.3889722,0,0,0,0,41.6661667,38.8882222
"4B_02",9.722,0,0,0,0,0,0.1262727,0,0,0,0,0,0,8.333,66.667
"4B_03",0,17.647308,0,0,0,0,0.4679251,0,0,0,0,0,0,38.2349516,23.5290381
"4B_04",0,5.8827266,0,0,0,0.5882727,0.1336983,0,1.4706817,0,0,14.7057578,0,2.9413633,64.704699
"4B_05",0,23.52929,0,0,0,0,0,0,0,0,0,0,0,11.76464,64.70607
"4B_06",1.51526722,15.15158127,0,0,0,0,0.06887578,0,0,0,0,0,2.2726281,30.30316253,39.39367493
"4B_07",0,0,2.778,0,0,0,0.6944318,0,1.389,0,2.778,0,0,41.667,19.444
"4B_08",0,0,0,0,0,0,0.06494041,0,2.85737796,0,0,0,9.28570694,8.57110531,45.71393306
"4B_09",0,0,0,0,0,0,0.5844169,0,1.428689,0,0,0,0,11.4284833,59.9997943
"4B_10",0,18.7501406,0,0,0,0,0.4261396,0,0,0,0,0,0,31.2498594,31.2498594
"4B_11",1.38898611,5.55594444,0,0,0,0,0.06313573,0,0,0,0,2.77797222,0,33.33266667,52.77747223
"4B_12",1.4286596,0,0,2.8573192,0,0,0.5194892,0,0,0,0,0,0,31.4284539,39.9993829
"4B_13",2.7779444,13.8887222,0,0,0,0,0.2525404,0,1.3889722,0,2.7779444,0,0,8.3328333,55.5548889
"4B_14",0,29.411827,0,0,0,0,0.5347509,0,1.4706972,0,0,0,0,17.647308,26.4704325
"4B_15",2.857349,0,0,0,0,0,0,0,1.428674,14.285714,0,0,0,14.285714,62.856526
"4B_16",1.4286743,8.5710171,0,0,0,0,0.1948192,0,0,2.8573486,0,0,0,5.7146971,71.4275429
"4B_17",0,8.5711053,0,0,0,1.1429512,0.5194765,0,0,0,0,2.857378,0.7143445,8.5711053,48.571311
"4B_18",4.285509,5.714697,0,0,0,0,0,0,0,0,0,8.571017,1.428674,5.714697,65.713874
"4B_19",0,0,0,0,0,0,0.3896151,0,0,0,0,0,0,25.71408,57.1428571
"4B_20",0,0,0,0,0,0,0.4419274,0,0,5.5559444,0,2.7779722,0.6944931,8.3329167,61.1103889
"4C_01",0,5.55594444,0,0,0,0,0.06313573,0,0,0,2.77797222,0,0,8.33291667,80.55519445
"4C_02",0,25,5.556,0,0,0,0.5050455,0,0,0,0,0,0,22.222,25
"4C_03",0,47.222,0,0,0,0,0.1262727,0,0,0,0,0,0,19.444,27.778
"4C_04",1.3889861,2.7779722,0,0,0,0,0.5050404,0,1.3889861,0,2.7779722,0,0,0,66.6663333
"4C_05",4.2855086,5.7146971,0,0,0,0,0.5844109,0,0,0,0,0,0,2.8573486,57.1428571
"4C_06",2.778,11.111,2.778,0,0,0,0,0,4.1665,0,0,0,0,2.778,69.444
"4C_07",2.85729,0,0,0,0,0,0.324692,0,2.85729,0,0,0,0,5.71458,68.569812
"4C_08",0,0,0,0,0,0,0.6493573,0,0,22.8569665,0,0,0,0,48.571311
"4C_09",2.9413945,0,0,0,0,0,0.2005496,0,5.8822595,0,0,0,0,0,73.5285087
"4C_10",9.09095868,0,0,0,0,0,0.06887503,0,1.51525069,0,3.03050137,0,0,6.06100275,66.66557577
"4C_11",0,9.6769324,0,0,0,0,0.3665681,0,1.6130156,0,3.2260312,0,0,3.2260312,64.5159792
"4C_12",4.687307,9.374613,0,3.125246,0,0,0.355116,0,1.562623,0,0,0,0,3.125246,56.24993
"4C_13",4.5452562,6.0610689,0,0,0,0,0.3443541,0,3.0305344,0,0,0,0,0,63.6357686
"4C_14",1.3889722,2.7779444,0,0,0,0,0.2525404,0,1.3889722,0,0,0,0,2.7779444,77.7764445
"4C_15",1.3889861,0,0,0,0,0,0.3156787,0,0,0,0,0,0,8.3329167,74.99925
"4C_16",2.8573486,0,0,0,0,0,0.1948192,0,0,0,2.8573486,11.4283657,0,0,71.4275429
"4C_17",6.0605234,0,0,0,0,0,0.2066026,0,1.5152672,0,0,3.0305344,0,3.0305344,69.6968375
"4C_18",4.1665,0,0,0,0,0,0,0,1.389,0,0,11.111,0,2.778,75
"4C_19",0,0,0,0,0,0,0.06313636,0,0,0,0,8.333,0,0,88.889
"4C_20",0,0,0,0,0,0,0,0,0,0,0,5.556,0,0,94.444
"5A_01",0,0,0,0,0,0,1.010091,0,0,0,0,0,0,2.778,52.778
"5A_02",5.5554444,0,0,0,0,0,0.8207191,0,0,0,0,2.7779722,0,27.7777222,22.2217778
"5A_03",0,0,0,0,0,0,0.06313573,0,1.38898611,0,2.77797222,11.11088889,0.69449306,2.77797222,74.99925001
"5A_04",0,0,0,2.857349,0,0,0,0,2.857349,0,2.857349,2.857349,0,0,85.713257
"5A_05",0,0,0,0,0,0,0.06313573,0,2.77797222,0,2.77797222,0,0,2.77797222,86.1101389
"5A_06",0,0,0,0,0,0,0.1948192,0,1.4286743,0,0,0,0,0,88.5706057
"5A_07",0,0,0,0,0,0,0.2525227,0,2.778,0,0,0,0,0,83.333
"5A_08",0,0,0,0,0,0,0.1262727,0,0,0,0,0,2.08325,0,86.111
"5A_09",0,9.0905124,0,0,0,0,0.4132299,0,1.5152672,0,3.0305344,0,0,36.3631405,30.3031625
"5A_10",0,6.0610027,0,0,0,0,0.4132254,0,0,0,0,0,0,18.1819174,57.5751625
"5A_11",5.5554444,5.5559444,0,0,0,0,0.3156559,0,0,0,0,0,0,2.7779722,66.6663333
"5A_12",0,0,0,0,0,0,0.2525227,0,0,0,0,5.556,0,0,83.333
"5A_13",6.9444306,0,0,0,0,0,0.2525429,0,0,0,0,0,0,2.7779722,72.2212778
"5A_14",0,0,0,0,0,0,0,0,0,0,2.777972,5.555944,0,0,91.666083
"5A_15",2.9413945,8.8231246,0,0,0,0,0.3342253,0,0,0,0,2.9413945,0,14.7059135,52.9408651
"5A_16",3.3335733,13.3330933,0,0,0,0,0.2272618,0,0,0,0,0,0,63.3330933,6.6671467
"5A_17",1.56260547,31.24985938,0,0,0,0,0.07102752,0,0,0,0,0,0,62.49971875,0
"5A_18",0,0,0,0,0,0,0.7142904,0,0,0,2.8573486,2.8573486,0,0,62.8565257
"5A_19",1.4706817,0,0,0,0,0,0.6016184,0,0,0,0,0,0,2.9413633,67.6460623
"5A_20",5.5554444,11.1108889,0,0,0,0,0.4419274,0,0,0,5.5559444,2.7779722,0,16.6668333,33.3326667
"5B_01",2.7779722,0,0,0,0,0,0.3787917,0,1.3889861,0,0,0,0,0,74.99925
"5B_02",2.8573486,0,0,0,0,0,0.9740026,0,1.4286743,0,0,2.8573486,0.7143371,2.8573486,39.9997943
"5B_03",0,8.570929,0,0,0,0.5714638,0.3246954,0,0,0,0,0,0,17.1428865,57.1422694
"5B_04",0,13.888861,0,0,0,0,1.073239,0,0,0,0,0,0,38.888611,0
"5B_05",0,19.444,0,0,0,0,0.5050455,0,0,0,0,0,0,52.778,5.556
"5B_06",0,23.33289333,0,0,0,0,0.07576394,0,0,0,0,0,0,53.33301333,20.00048
"5B_07",0,0,0,0,0,0,0.2673967,0,0,0,0,2.9413633,0,0,85.2931834
"5B_08",0,0,0,0,0,0,0.1894072,0,0,0,0,0,0,2.7779722,88.8881111
"5B_09",0,5.5559444,0,0,0,0,0.1894072,0,0,0,0,0,0,0,86.1101389
